"age","len_mar_stat","count"
"80","40",82
"61","31",301
"63","37",388
"52","17",336
"80","42",22
"43","8",520
"99","99",58
"52","14",285
"67","15",32
"64","20",141
"75","17",16
"63","17",71
"64","50",65
"64","18",66
"78","24",3
"64","46",241
"20","7",156
"61","20",148
"60","26",332
"69","49",240
"64","49",56
"65","38",397
"91","99",192
"43","1",334
"58","24",255
"63","41",519
"69","24",40
"53","39",95
"43","5",405
"63","34",411
"70","23",35
"65","23",68
"56","39",366
"21","10",62
"19","10",5
"57","19",147
"63","25",200
"51","20",817
"70","41",155
"74","49",170
"63","27",167
"70","3",43
"71","3",17
"73","39",77
"81","60",38
"87","60",15
"67","22",60
"78","36",20
"56","24",365
"58","47",9
"56","41",99
"37","27",18
"41","1",375
"69","35",160
"81","7",4
"70","30",249
"63","48",92
"67","16",42
"67","42",404
"75","39",43
"59","39",617
"63","15",87
"41","2",374
"47","2",208
"54","13",163
"56","8",121
"30","20",94
"81","33",10
"40","33",13
"59","20",301
"69","4",35
"110","99",9
"66","23",60
"42","29",80
"58","5",103
"59","5",73
"34","24",23
"31","19",50
"52","15",357
"41","9",622
"56","21",216
"79","57",56
"74","57",33
"52","0",109
"19","7",29
"60","7",103
"22","12",45
"21","11",23
"74","19",10
"56","19",206
"64","15",85
"61","36",472
"62","36",484
"65","2",67
"74","41",52
"69","41",171
"61","17",62
"52","8",183
"37","26",26
"71","27",35
"70","44",280
"61","22",115
"44","29",278
"48","32",457
"48","0",136
"56","0",65
"67","31",102
"41","30",42
"68","23",50
"80","20",15
"75","32",32
"59","27",305
"16","3",75
"77","40",72
"55","11",164
"65","13",53
"76","59",21
"54","4",154
"60","5",109
"59","2",79
"68","44",341
"67","44",410
"72","41",95
"77","41",30
"30","17",165
"54","2",122
"73","7",12
"72","0",18
"64","0",47
"62","9",55
"57","16",140
"73","41",62
"68","41",222
"57","3",78
"51","12",250
"54","27",858
"52","9",181
"79","50",114
"55","1",189
"62","47",60
"45","33",54
"64","31",190
"66","9",38
"72","9",23
"58","17",125
"78","50",145
"80","35",37
"63","38",499
"49","10",418
"74","45",171
"29","17",53
"68","47",292
"66","12",29
"51","8",187
"51","4",150
"40","30",113
"61","0",45
"54","41",21
"67","24",66
"81","57",25
"73","30",80
"61","27",169
"96","99",70
"67","10",51
"71","12",26
"61","43",298
"65","47",205
"68","43",316
"58","26",337
"59","3",94
"74","13",17
"61","19",71
"78","38",23
"70","12",48
"51","34",531
"68","6",34
"70","24",40
"72","31",43
"79","18",6
"71","11",13
"52","11",182
"24","13",66
"68","24",65
"39","28",36
"64","21",62
"67","5",33
"77","51",72
"72","51",140
"29","16",114
"48","2",217
"65","9",59
"66","5",45
"73","9",17
"32","24",14
"41","0",210
"64","4",61
"68","46",361
"63","46",201
"62","0",43
"57","0",60
"36","23",87
"68","31",76
"22","11",43
"41","3",397
"47","34",60
"54","47",7
"54","0",83
"78","8",9
"45","31",129
"70","39",139
"56","38",492
"20","11",9
"80","29",9
"67","11",35
"56","44",21
"57","44",22
"59","49",8
"21","12",32
"53","8",135
"74","18",18
"61","29",184
"59","18",154
"68","1",71
"52","40",58
"72","6",25
"55","6",132
"34","27",11
"73","4",18
"58","23",194
"68","34",128
"52","39",65
"75","51",136
"67","51",56
"62","37",437
"71","45",257
"68","29",76
"77","23",12
"63","23",126
"64","26",121
"72","19",21
"62","19",90
"28","17",49
"33","24",22
"76","32",29
"70","11",28
"28","22",10
"65","11",63
"60","2",103
"78","39",18
"75","7",25
"71","7",26
"75","43",78
"71","43",165
"56","2",88
"36","27",15
"78","61",9
"58","11",68
"65","5",55
"58","14",102
"67","14",48
"70","53",67
"64","8",50
"74","60",9
"64","7",48
"66","1",81
"67","25",111
"63","11",45
"74","15",18
"66","15",55
"48","40",26
"51","40",33
"69","1",42
"61","26",141
"56","46",9
"76","30",48
"63","16",76
"36","24",39
"78","7",9
"71","16",28
"60","16",134
"70","6",41
"60","11",101
"72","29",37
"50","37",91
"71","50",326
"62","50",24
"74","43",70
"72","34",58
"66","11",35
"71","31",34
"46","38",12
"64","37",342
"79","28",17
"72","30",86
"74","25",28
"58","2",88
"74","23",29
"25","16",35
"76","33",19
"75","33",41
"78","40",70
"73","40",187
"53","11",150
"59","14",88
"62","7",60
"72","22",36
"70","37",102
"68","50",269
"45","36",30
"59","13",79
"54","39",148
"80","23",11
"62","11",59
"77","50",174
"17","5",24
"28","16",87
"78","31",15
"43","31",37
"75","15",32
"66","28",100
"35","24",48
"70","22",45
"81","48",15
"93","99",93
"80","25",21
"52","38",92
"65","14",70
"28","30",7
"101","99",21
"65","49",99
"64","1",72
"62","25",227
"67","46",355
"83","57",15
"54","38",278
"76","23",12
"76","35",40
